step,time,cmd_vx,cmd_vy,cmd_wz,V_hat,Q_val,threshold,alpha,n_iters,filtered_abs_max,filtered_norm,delta_target_abs_max,delta_target_norm,roll,pitch,active,filtered_pb_0,filtered_pb_1,filtered_pb_2,filtered_pb_3,filtered_pb_4,filtered_pb_5,filtered_pb_6,filtered_pb_7,filtered_pb_8,filtered_pb_9,filtered_pb_10,filtered_pb_11,walk_target_pb_0,walk_target_pb_1,walk_target_pb_2,walk_target_pb_3,walk_target_pb_4,walk_target_pb_5,walk_target_pb_6,walk_target_pb_7,walk_target_pb_8,walk_target_pb_9,walk_target_pb_10,walk_target_pb_11,action_pb_0,action_pb_1,action_pb_2,action_pb_3,action_pb_4,action_pb_5,action_pb_6,action_pb_7,action_pb_8,action_pb_9,action_pb_10,action_pb_11
0,0.015805482864379883,0.0,0.0,0.0,-0.3344765305519104,-0.3344765305519104,-0.3311317652463913,1.0,0,0.23579098284244537,0.3309934437274933,0.07073729485273361,0.09929800778627396,0.001161833992227912,-0.10396727919578552,1,0.109133326,-0.08112129,-0.054326277,0.013074308,-0.037506804,-0.103653826,0.061454594,-0.055299465,-0.008571244,0.23579098,-0.03227827,0.11065854,-0.026180625,0.9783932,-1.9802793,0.002674967,0.9383004,-1.9166063,0.022122785,0.9892111,-1.9438757,0.011310302,0.92847425,-1.9413244,0.0065593757,0.9540568,-1.9965773,0.0065972595,0.9270483,-1.9477024,0.040559165,0.97262126,-1.946447,0.0820476,0.91879076,-1.9081268
1,0.03458714485168457,0.0,0.0,0.0,-0.34123945236206055,-0.34123945236206055,-0.3378270578384399,1.0,0,0.16806058585643768,0.2855042815208435,0.0504181794822216,0.08565130084753036,-0.0019274315563961864,-0.11115506291389465,1,0.12730995,-0.0863895,-0.05152411,0.06601948,-0.032376908,-0.07954439,0.005097461,-0.062391877,-0.034461565,0.16806059,-0.046421427,0.0891471,-0.004407458,0.95628184,-1.9402382,-0.005546823,0.9045768,-1.9046285,0.023587435,0.9619769,-1.9026096,-0.003785178,0.90171844,-1.9198768,0.03378553,0.93036497,-1.9556955,0.014259022,0.8948637,-1.9284918,0.025116675,0.9432593,-1.912948,0.046633,0.887792,-1.8931327
2,0.05490469932556152,0.0,0.0,0.0,-0.3358718156814575,-0.3358718156814575,-0.3325130975246429,1.0,0,0.16136521100997925,0.2097225785255432,0.04840958118438721,0.06291680783033371,-0.022639119997620583,-0.1010107696056366,1,0.052206386,-0.028979005,-0.03465959,0.02340429,-0.020040663,-0.16136521,0.007405056,0.008452862,0.049908455,0.08719797,0.022939565,0.03849696,-0.012047194,0.9533697,-1.9514325,0.0075084195,0.8925782,-1.9307631,0.02251432,0.95729256,-1.931479,-0.01567354,0.9334442,-1.9212887,0.0036147218,0.944676,-1.9618304,0.014529707,0.886566,-1.9791727,0.024735838,0.95982844,-1.9165064,0.01048585,0.9403261,-1.9097396
3,0.08276867866516113,0.0,0.0,0.0,-0.3347170948982239,-0.3347170948982239,-0.33136992394924164,1.0,0,0.1066942811012268,0.17127755284309387,0.03200817108154297,0.05138319730758667,-0.028934868052601814,-0.06811247766017914,1,0.051591594,-0.052030046,-0.03828727,-0.0084165735,-0.044037364,-0.10669428,-0.01683993,-0.041397654,-0.039912906,0.05351227,0.044877645,-0.025288584,-0.015490383,0.9645859,-1.9671746,-0.0098852515,0.9413595,-1.9868853,0.059754696,0.96680623,-1.989888,0.0054147243,0.94610715,-1.9747158,-1.2904406e-05,0.9489769,-1.9786608,-0.0124102235,0.9281483,-2.0188935,0.054702718,0.95438695,-2.0018618,0.021468407,0.95957047,-1.9823024
4,0.09489631652832031,0.0,0.0,0.0,-0.3339386582374573,-0.3339386582374573,-0.3305992716550827,1.0,0,0.16313128173351288,0.2887006998062134,0.04893938824534416,0.08661016076803207,-0.02265872433781624,-0.07430455833673477,1,0.10232966,-0.0974846,-0.047024943,-0.0105855735,-0.032460373,-0.098682836,0.06856376,-0.06470647,-0.027841374,0.16313128,-0.043039814,0.11013997,0.010453105,1.0081203,-1.9878306,0.008880496,0.8664245,-1.9180506,0.040009275,0.9484891,-1.9467498,0.004410967,0.84802604,-1.887957,0.041152,0.9788749,-2.001938,0.005704824,0.8566864,-1.9476554,0.060578406,0.9290772,-1.9551022,0.053350355,0.8351141,-1.854915
5,0.1150672435760498,0.0,0.0,0.0,-0.3452681005001068,-0.3452681005001068,-0.34181541949510574,1.0,0,0.2014818787574768,0.3485810160636902,0.06044456735253334,0.10457431524991989,-0.02279774658381939,-0.09265981614589691,1,0.1559843,-0.0939031,-0.028459497,0.018581338,-0.011115898,-0.06640698,0.07477949,-0.1060843,-0.05360713,0.20148188,-0.078664795,0.12715538,0.009684607,1.0058632,-2.0131204,0.0010507703,0.85828274,-1.8831804,0.034623384,0.94066346,-1.9468728,-0.0011233985,0.8478596,-1.8425843,0.056479897,0.97769225,-2.0216582,0.0066251718,0.854948,-1.9031025,0.05705723,0.90883815,-1.962955,0.05932117,0.8242602,-1.8044376
6,0.13466143608093262,0.0,0.0,0.0,-0.33598846197128296,-0.33598846197128296,-0.33262857735157014,1.0,0,0.13094618916511536,0.22453664243221283,0.03928385674953461,0.06736093759536743,-0.0380864143371582,-0.08631060272455215,1,0.054849643,-0.05052666,-0.03906672,0.029613009,-0.044781636,-0.12634884,0.028993709,-0.031960867,0.02693662,0.13094619,0.0060391845,0.06864125,-0.017109394,1.0062584,-2.0075116,0.0062066317,0.8633327,-1.910818,0.031237744,0.95653,-1.9886773,-0.0031255558,0.86388224,-1.8519758,-0.0006545,0.9911004,-2.0192316,0.015090534,0.8498982,-1.9487226,0.039935857,0.94694173,-1.9805963,0.0361583,0.865694,-1.8313835
7,0.15479016304016113,0.0,0.0,0.0,-0.3327297270298004,-0.3327297270298004,-0.3294024297595024,1.0,0,0.13672898709774017,0.193192720413208,0.04101872444152832,0.057957857847213745,-0.043171193450689316,-0.061904970556497574,1,0.038087886,-0.05422718,-0.039124098,0.030970495,-0.024342952,-0.13672899,-0.017039325,0.012432128,0.059216656,0.067050345,0.01848733,0.04864001,-0.014244646,1.0110748,-1.9667681,0.0063302442,0.8809907,-1.953414,0.053898357,0.9726739,-1.9776845,0.01102484,0.88759357,-1.8876336,-0.00281828,0.99480665,-1.9785054,0.015621393,0.8736878,-1.9944327,0.04878656,0.97640353,-1.9599195,0.031139944,0.8931398,-1.8730415
8,0.17491626739501953,0.0,0.0,0.0,-0.33536791801452637,-0.33536791801452637,-0.3320142388343811,1.0,0,0.1053130254149437,0.16539305448532104,0.031593918800354004,0.0496179424226284,-0.03701871261000633,-0.04530889913439751,1,0.04663908,-0.06345133,-0.022077413,0.004621702,-0.025631258,-0.105313025,0.003910804,-0.020931104,0.027821377,0.06140549,0.0069362023,0.06205515,0.012623653,1.0187474,-1.9652663,0.008357517,0.8660166,-1.9472375,0.06020113,0.9535505,-1.9556363,0.020938903,0.8630339,-1.8811467,0.026615378,0.99971205,-1.9718896,0.009744028,0.85832727,-1.9788314,0.061374374,0.94727117,-1.9472898,0.039360553,0.86511475,-1.8625301
9,0.19526195526123047,0.0,0.0,0.0,-0.34141814708709717,-0.34141814708709717,-0.3380039656162262,1.0,0,0.09546985477209091,0.17593125998973846,0.04454755783081055,0.06741684675216675,-0.042968686670064926,-0.04455377534031868,1,0.06915907,-0.050013196,-0.036618963,0.004683626,-0.010360434,-0.095469855,0.0046508005,-0.08964638,-0.045692116,0.05116279,0.016592331,-0.0066320957,0.011484057,1.0445476,-1.9761848,-0.017008938,0.8572858,-1.915075,0.051918052,0.94379044,-1.9478348,0.0003793016,0.819182,-1.8720906,0.032231778,1.0,-1.9871706,-0.01560385,0.85417765,-1.9437159,0.053313293,0.9168965,-1.9615425,0.015728138,0.8241597,-1.8740802
